番号,難易度,問題文,回答,ボタン1,ボタン2,ボタン3,ボタン4,説明1,説明2,説明3,説明4
1,easy,にゃ～んと鳴く動物は？,猫,犬,猫,人間,ゴリラ,犬はワン,それはそう,そういう時もある,ゴリラはウホ
2,easy,鼻の長い動物は？,ゾウ,ゾウ,ワニ,サイ,カバ,ゾウは、その長い鼻で何でも掴むよ。,ワニは、口が大きいけど鼻は長くないよ。,サイは、角が大きいよ。,カバは、口が大きいね。
3,easy,首の長い動物は？,キリン,ウマ,キリン,サル,ヘビ,ウマの首も長いけど、キリンには負けるよ。,キリンの首の長さは、約２メートルあるよ。,サルは、腕が長いけど首は長くないよ。,ヘビは、体は長いけど首はあるかな？
4,easy,モーと鳴く動物は？,ウシ,ヒツジ,ヤギ,ウマ,ウシ,ヒツジは、メェーと鳴くよ。,ヤギは、メェーと鳴くよ。,ウマは、ヒヒーンと鳴くよ。,そうその通り、ウシはモーと鳴くね。
5,easy,チューチュー鳴く動物は？,ネズミ,猫,フクロウ,ネズミ,ウマ,猫の鳴き声は、ニャ～ンかニャオだね。,フクロウは、ホーホーと鳴くよ。,そうだね、ネズミはチューチュー鳴くね。,ウマは、ヒヒーンと鳴くよ。
6,easy,ブヒブヒ鳴く動物は？,ブタ,スズメ,ブタ,犬,ウマ,スズメは、チュンチュンと鳴くね。,そうその通り、ブタはブヒブヒ鳴くね。,犬は、ワンと鳴くよ。,ウマは、ヒヒーンと鳴くよ。
7,normal,百獣の王といわれる動物は？,ライオン,クマ,ライオン,ゾウ,トラ,クマも大きいけど、違うよ。,そうだね、ライオンは百獣の王といわれるね。,ゾウは、大きいけど百獣の王とはいわれないよ。,トラは、同じネコ科の動物だけど百獣の王とはいわれないよ。
8,normal,世界一地上を速く走る動物は？,チーター,ライオン,トラ,ヒョウ,チーター,ライオンは、群れで生活するので、走るのはそんなに速くないよ。,トラは、泳ぎが得意だけど、走るのはあまり速くないよ。,ヒョウは、夜行性で木登りが得意だけど、そんなに速くないよ。,チーターは、時速100～110㎞で走ると言われているよ。走り始めてから3秒程度でこの最高速度になるらしいよ。
9,easy,コケコッコーと鳴く動物は？,ニワトリ,ニワトリ,ハト,カラス,インコ,そうだね、ニワトリの鳴き声はコケコッコーだよね。,ハトは、クックルーと鳴くね。,カラスは、カーカーと鳴くよ。,インコは、モノマネが得意だから鳴けるかもしれないね。
10,easy,空を飛ぶ動物は？,スズメ,ペンギン,ダチョウ,スズメ,ムササビ,ペンギンは、陸上をヨチヨチ歩くのが特徴的だね。水の中をスイスイ泳ぐけど、空は飛べないよ。,ダチョウは、地上を走るのは速い鳥だけど、飛ぶことはできないよ。,そうその通り、スズメは小さいけど遠くまで飛べるよ。,ムササビは、飛んでるように見えるけど、木から木へ飛び移っているから地上から飛ぶことはできないね。
11,easy,しっぽが長い動物は？,ワニ,キツネ,猫,ワニ,サル,キツネのしっぽは、だいたい26～50cmくらいです。ケープギツネなどは、体長と同じくらいの長さのしっぽをもっているそうです。,猫は、しっぽの長い種類だとおよそ25～30cmほどです。ワニにはかなわないね。,ワニは、しっぽの長さが250～350cmあるらしいよ。,しっぽの長いサルで知られる「ワオキツネザル」しっぽの長さは56～62.4cmあるけど、ワニにはかなわないな。
12,easy,世界一大きな動物は？,クジラ,クジラ,ゾウ,サメ,イルカ,「シロナガスクジラ」は、体長がおよそ30m、体重が150tで、とても大きいよ。,ゾウは、陸上哺乳類で最大の動物だけど、クジラの方が大きいよ。オスはおよそ6トン、メスでおよそ4トンまで成長するよ。,サメも大きいけど、体長は約4.3m、体重は約540kgでクジラよりは小さいよ。,イルカは、体長約４m、体重は６５０ｋｇくらいなので、クジラほど大きくならないよ。
13,normal,世界一寿命が長い動物は？,カメ,ヘビ,トカゲ,カメ,カエル,ヘビの種類で違いはあるけど、大体15～25年程度の寿命のようだよ。,小型のトカゲは5～10年、中型のトカゲは10～20年、大型のトカゲ「コモドドラゴン」は、約40?60年も生きるみたいだけど、カメの方が長生きだよ。,カメの中でも「ガラパゴスゾウガメ」は、寿命が250年以上と言われているよ。体の中に水を貯めることができるので、1年間飲まず食わずでも生きていけるんだって、スゴイね。,カエルの種類で違うけど、アマガエルは5～7年、ヨーロッパヒキガエルは10～12年で、30年以上も生き続けたカエルの記録もあるようだけど、カメほど長生きじゃないよ。
14,normal,世界一速く泳ぐ魚は？,カジキ,カジキ,サメ,マンボウ,カツオ,カジキの種類で「バショウカジキ」は、時速100㎞で水中を泳ぐことができるよ。,サメは、どこかに移動する時はだいたい時速8㎞のスピードで泳ぎ、獲物を追う時のスピードは最高で時速55㎞といわれているから、カジキほど速くないよ。,マンボウは、魚なのに泳ぎがあまりうまくなくて、ぷかぷかと海面に浮かんでいるよ。,カツオは、時速60kmで泳ぐけど、カジキにはかなわないね。
15,easy,世界一大きな鳥は？,ダチョウ,白鳥,クジャク,アヒル,ダチョウ,白鳥の種類で違いはあるけど、コハクチョウは全長120～150㎝ほど、オオハクチョウは全長140～165cmほどの大きさだよ。,クジャクの種類で違いはあるけど、インドクジャクのオスの大きさは180～230cm、メスの大きさは90～100cmの大きさだよ。,アヒルは、全長50～80cmほどなので、あまり大きくないよ。,ダチョウは、体長が約250cm、体重が約150㎏あるとても大きな鳥だよ。
16,easy,笹が好物の動物は？,パンダ,サル,パンダ,クマ,ライオン,野生のサルは、森の中で自生する植物の実や若葉、昆虫類などを食べて暮らしているけど、笹は好物ではないよ。,パンダは、笹が大好きだよ。でも雑食だから、笹以外も食べるよ。,クマは、雑食で何でも食べるけど、笹は食べないよ。,ライオンは、肉食なので、笹は食べないよ。
17,easy,ユーカリの葉っぱを食べる動物は？,コアラ,コアラ,アリクイ,キリン,ウシ,そうだね、コアラは、ユーカリの葉っぱを食べるよ。,アリクイは、名前の通り蟻を食べるよ。,キリンは、葉っぱを食べるけど、ユーカリの葉っぱは食べないよ。,ウシは、牧草を食べるので、ユーカリの葉っぱは食べないよ。
18,easy,ほとんど土の中で生活している動物は？,モグラ,モグラ,キツネ,犬,イノシシ,その通り、モグラは、土の中で生活するので目が見えないよ。,キツネは、穴の中で生活するけど、土の中ではないよ。,犬は、土を掘ったりするけど、土の中で生活はしていないよ。,イノシシは、里山の雑木林などを好むので、身体を隠すことができる草むらや藪に棲むことが多い。
19,easy,背中にコブがあり、砂漠の移動に使われる動物は？,ラクダ,ウマ,犬,ラクダ,ヤギ,ウマは、砂漠の移動にも使われるけど、コブはないよ。,犬は、砂漠にいるかもしれないけど、コブはないよ。,そうだね、ラクダは砂漠の移動に良く使われるね。背中のコブで栄養を蓄えているよ。,ヤギは、砂漠の移動には使わないよ。コブも持っていません。
20,easy,体の色を様々に変えられる動物は？,カメレオン,トカゲ,ヘビ,ワニ,カメレオン,トカゲは、体の色は変化しないよ。,ヘビは、成長の過程で色や模様が変化するけど、カメレオンのように様々に変えることはできないよ。,ワニは、体の色は変えることはできないよ。,そうその通り、カメレオンは、環境によって様々な色に体の色を変えられるよ。
21,easy,全身がピンク色で片足で立つ鳥は？,フラミンゴ,フラミンゴ,ペリカン,白鳥,カラス,そうその通り、フラミンゴは、エビやカニや藻を食べるので、全身がピンク色です。気温が低くなると体が冷えるのを防ぐために足を羽毛に入れて片足で立っています。,ペリカンは、全身は白いよ。大きくて黄色いくちばしが特徴だよ。,白鳥は、白色と黒色はいるけどピンク色の白鳥はいないよ。,カラスは、黒いのが多いね、黒以外もいるけど、ピンク色のカラスはいないよ。
22,normal,この中で赤い汗をかく動物は？,カバ,サイ,ヌー,カバ,ゾウ,サイは、肉眼で確認できるほどの汗はかきません。,ヌーは、ウシ科の動物なので、ウシと同じく鼻づらや上半身で汗をかいていると思うので、赤い汗はかかないよ。,そうその通り、カバは赤い汗をかくよ。赤い汗の膜で皮膚の乾燥や、日焼け、細菌感染を防いでいるよ。,ゾウの体には汗をかくための汗腺がないので、汗をかくことはできないよ。
23,hard,日本の特別天然記念物に指定されている鳥は？,トキ,ワシ,カモ,トキ,ヤンバルクイナ,「イヌワシ」や「オオワシ」は天然記念物に指定されているけど、特別天然記念物ではないし、ワシの種類全部が天然記念物でもないんだ。,カモは、天然記念物や特別天然記念物には指定はされていないよ。,そう、特別天然記念物にトキは指定されているよ。他にもアホウドリやコウノトリも指定されているよ。,おしい、ヤンバルクイナは天然記念物に指定されているけど、特別天然記念物じゃないんだ。
24,hard,千葉県でサメは、その外見から何と呼ばれているでしょうか？,オバサン,オジサン,オバサン,オニイサン,オネエサン,正式名称も「オジサン（スズキ目ヒメジ科の魚）」という魚がいるけど、千葉県のサメの別名ではないよ。下あごから2本のヒゲが生えていることから、「オジサン」と命名されたそうです。,そうその通り、千葉県の漁師さんの間では「見た目がオバサンっぽいから」という理由で、ヨシキリザメのことを「オバサン」と呼んでいるそうです。,オニイサンという名前の魚や別名はありませんでした。,オネエサンという魚の名前や別名はありませんでした。
25,hard,カメは人間と同じ肺呼吸をしています。鼻でも呼吸しますが、鼻以外の呼吸する場所はどこでしょう？,おしり,甲羅,足,おしり,頭,カメは、甲羅で呼吸しません。,カメは、足で呼吸できません。,そう、カメは「おしり」で呼吸ができるのです。,カメは、頭で呼吸はできません。
26,normal,水族館のショーでお馴染みのイルカのジャンプ、ジャンプする理由はどれでしょう？,皮膚をキレイにするため,皮膚をキレイにするため,空を飛ぶ練習,日を浴びて身体を温めている,飛ぶと楽しいから,そう、イルカの皮膚は古い皮膚がはがれるけど、はがれ残ってしまうんだ。その残った皮膚を落とすためにジャンプするよ。,気持ちは空を飛んでるかもしれないね。でも空を飛ぶためじゃないよ。,日を浴びているように見えるかもしれないけど、違う理由があるよ。,楽しいように見えるけど、違う理由がちゃんとあるよ。
27,normal,ウシの胃袋はいくつある？,４つ,１つ,２つ,３つ,４つ,１つの胃袋は、人や犬や猫が挙げられるね、でもウシは１つじゃないよ。,２つの胃袋は、ニワトリや鳥類だけど、ウシは２つじゃないよ。,３つの胃袋は、ラクダやアルパカにあるよ、でもウシの胃袋はもっと多いよ。,そうビックリするけど、ウシは、４つの胃袋を持っているよ。ウシ以外にもヒツジやヤギも胃袋が４つあるよ。
28,normal,上の前歯がない動物は？,キリン,猫,キリン,犬,クマ,猫は、上にも前歯あります。,その通り、キリンは上あごの前歯はありません。キリン以外にもウシやヤギも前歯がありません。,犬は、前歯があります。,クマは、前歯あります。
29,hard,シマウマの鳴き声はどれでしょう？,ワンワン,コンコン,モーモー,ワンワン,ヒヒーン,コンコンは、キツネの鳴き声だよ。,モーモーは、ウシの鳴き声だよ。,そう、犬の鳴き声みたいだけど、シマウマは「ワンワン」と鳴くよ。,ウマと同じ仲間だからヒヒーンと鳴くと思うよね、でもシマウマの鳴き声はヒヒーンじゃないよ。
30,easy,ブタは何の野生動物を家畜にしたのでしょうか？,イノシシ,シカ,ウシ,ヒツジ,イノシシ,シカではないよ。,ウシを小さくしたわけでもないよ。,ヒツジではないよ。,そう、ブタはおとなしいイノシシ同士を交配させて家畜にしたんだよ。
31,normal,イルカを漢字で書くとでれでしょう？,海豚,河豚,水豚,海豚,海星,河豚、と書いて「フグ」と読むよ。,水豚、と書いて「カピバラ」と読むよ。,その通り、海豚と書いて「イルカ」と読むよ。,海星、と書いて「ヒトデ」と読むよ。
32,hard,最も長い飛行をする鳥はどれですか？,コクガン,ハヤブサ,コクガン,アホウドリ,ツバメ,ハヤブサは短距離で非常に速く飛ぶことができますが、長距離の飛行はしません。,"コクガンは 1 年間に最大で 70,000 キロメートルの距離を飛行します。",アホウドリは長距離を飛行することができますが、年間飛行距離はコクガンより短いです。,ツバメは長距離移動する渡り鳥ですが、飛行距離はコクガンほど長くありません。
33,hard,唯一飛ぶことができる哺乳類はどれですか？,コウモリ,サル,コウモリ,リス,カモノハシ,サルは木に飛び移ることはできるかもしれないけど、飛ぶことはできないよ。,コウモリは唯一の飛ぶことができる哺乳類です。,リスは滑空することができますが、飛ぶことはできません。,カモノハシは飛ぶことができません。
34,normal,最も大きな陸上肉食動物はどれですか？,ホッキョクグマ,ハイエナ,トラ,ライオン,ホッキョクグマ,ハイエナは体重が最大で 80 キログラムに達することがあります。,トラは体重が最大で 300 キログラムに達することがあります。,ライオンは体重が最大で 250 キログラムに達することがあります。,ホッキョクグマは最大で体重 700 キログラムに達することがあります。
35,easy,唯一、真珠を作る動物はどれですか？,真珠貝,真珠貝,エビ,イカ,タコ,真珠貝は自然に真珠を作ることで知られています。,エビは真珠を作ることはできません。,イカは真珠を作ることはできません。,タコは真珠を作ることはできません。
36,normal,最も多くの言葉を覚えることができる鳥はどれですか？,オウム,オウム,カナリア,ハト,フクロウ,オウムは最も多くの言葉を覚えることができる鳥として知られています。,カナリアは美しい歌を歌うことができますが、多くの言葉を覚えることはできません。,ハトは簡単な指示を覚えることができますが、多くの言葉を覚えることはできません。,フクロウは狩りに優れていますが、多くの言葉を覚えることはできません。
37,easy,最も大きな卵を産む動物はどれですか？,ダチョウ,ワニ,ペンギン,ダチョウ,カメ,ワニの卵は大きいですが、ダチョウの卵よりも小さいです。,ペンギンの卵は大きいですが、ダチョウの卵よりも小さいです。,ダチョウは最も大きな卵を産み、その重さは最大で 1.4 キログラムに達します。,カメの卵は大きいですが、ダチョウの卵よりも小さいです。
38,hard,最も小さな哺乳類はどれですか？,トガリネズミ,トガリネズミ,チワワ,ハツカネズミ,コウモリ,トガリネズミは最も小さな哺乳類で、体重は 2 グラム程度です。,チワワは小型犬ですが、トガリネズミほど小さくはありません。,ハツカネズミは小さいですが、トガリネズミほど小さくはありません。,コウモリの中には小型種もいますが、トガリネズミほど小さくはありません。
39,easy,最も長い距離を泳ぐことができる哺乳類はどれですか？,クジラ,アシカ,クジラ,イルカ,カワウソ,アシカは泳ぎが得意ですが、クジラほどの長距離は泳ぎませ ん。,クジラは長距離を泳ぐことで知られ、年間数千キロメートルを移動します。,イルカは泳ぎが得意ですが、クジラほどの長距離は泳ぎません。,カワウソは泳ぎが得意ですが、クジラほどの長距離は泳ぎません。
40,hard,唯一の有毒な哺乳類はどれですか？,ツチブタ,カモノハシ,オオカミ,ツチブタ,アルマジロ,カモノハシは毒を持っていますが、有毒ではありません。,オオカミは有毒ではありません。,ツチブタは有毒な唾液を持ち、獲物を麻痺させることができます。,アルマジロは有毒ではありません。
41,normal,最も大きな脳を持つ動物はどれですか？,クジラ,ヒト,ゾウ,ゴリラ,クジラ,ヒトの脳は約 1.4 キログラムですが、クジラは8キログラムあるのでかなわないですね。,ゾウも大きな脳を持っています。しかし、ゾウの脳は6キログラムなので、8キログラムあるクジラにはかないません。,ゴリラの脳は約 0.6 キログラムです。クジラは8キログラムあるのでかなわないですね。,クジラは非常に大きな脳を持ち、その重さは約 8 キログラムに達します。
42,normal,最も高いジャンプをする動物はどれですか？,カンガルー,ヤマネ,カンガルー,バッタ,ウサギ,ヤマネは高くジャンプできますが、カンガルーほどではありません。,カンガルーは最大で 3 メートルの高さまでジャンプすることができます。,バッタは体長の数倍の高さをジャンプできますが、カンガルーほどではありません。,ウサギは高くジャンプできますが、カンガルーほどではありません。
43,hard,最も長く冬眠する動物はどれですか？,ハリネズミ,クマ,リス,カメ,ハリネズミ,クマは通常数ヶ月間冬眠しますが、最大で 8 ヶ月間冬眠するハリネズミにはかなわないよ。,リスは短期間の冬眠を繰り返しますので、、最大で 8 ヶ月間冬眠するハリネズミにはかなわないよ。,カメは通常数ヶ月間冬眠しますが、、最大で 8 ヶ月間冬眠するハリネズミにはかなわないよ。,ハリネズミは最大で 8 ヶ月間冬眠することがあります。
44,hard,最も毒性が強い動物はどれですか？,ヒョウモンダコ,ヒョウモンダコ,クラゲ,サソリ,ヘビ,ヒョウモンダコの毒は人間を数分で殺すことができます。,クラゲの中には非常に毒性の強い種もいますが、ヒョウモンダコほどではありません。,サソリの毒は危険ですが、ヒョウモンダコほどではありません。,ヘビの中には非常に毒性の強い種もいますが、ヒョウモンダコほどではありません。
45,normal,最も多くの子を産む動物はどれですか？,ウサギ,イヌ,ネズミ,ウサギ,ネコ,イヌは 1 回の出産で最大 12 匹の子を産むことがありますが、ウサギほど頻繁には産みません。,ネズミは 1 回の出産で最大 10 匹の子を産むことがあります。しかし、ウサギの方が、出産数や期間が多いのでかないません。,ウサギは 1 回の出産で最大 12 匹の子を産むことがあります。,ネコは 1 回の出産で最大 8 匹の子を産むことがあります。しかし、ウサギの方が、出産数や期間が多いのでかないません。
46,hard,最も高い木に登ることができる動物はどれですか？,ヒョウ,サル,ヒョウ,リス,ゴリラ,サルは木に登ることができますが、ヒョウほどの高さには登りません。,ヒョウは非常に高い木に登ることができ、その高さは最大で 10 メートル以上に達します。,リスは木に登ることができますが、ヒョウほどの高さには登りません。,ゴリラは木に登ることができますが、ヒョウほどの高さには登りません。
